"prompt","complexity_label","small_sufficient","large_sufficient","notes"
"Explain the basics of object-oriented programming.","low","True","True","cosine_sim=0.9678"
"What is the difference between latency and throughput?","low","True","True","cosine_sim=0.9607"
"Describe how firewalls protect networks.","low","True","True","cosine_sim=0.9442"
"Explain what technical specifications document.","high","False","True","cosine_sim=0.8228; method=long_cosine; short_output=false; substring_match=false"
"How does a binary search algorithm work?","low","True","True","cosine_sim=0.8789"
"What is the difference between AI and automation?","low","True","True","cosine_sim=0.9505"
"Describe how version control helps teams collaborate.","low","True","True","cosine_sim=0.9042"
"Explain what technical risk means in projects.","low","True","True","cosine_sim=0.9505"
"How does a message queue decouple services?","low","True","True","cosine_sim=0.9260"
"What is the difference between SQL and NoSQL?","low","True","True","cosine_sim=0.9047"
"Describe how technical standards improve interoperability.","low","True","True","cosine_sim=0.9665"
"Compare microservices and monoliths for a fintech startup with 10 engineers.","low","True","True","cosine_sim=0.8944"
"A user reports slow checkout. List a step-by-step debugging plan.","high","False","True","cosine_sim=0.8149; method=long_cosine; short_output=false; substring_match=false"
"Design a rate limiter for an API handling 10k requests per second.","high","False","True","cosine_sim=0.8475; method=long_cosine; short_output=false; substring_match=false"
"Given rising cloud costs, propose three ways to reduce inference spend.","high","False","True","cosine_sim=0.5716; method=long_cosine; short_output=false; substring_match=false"
"Analyze tradeoffs between SQL and NoSQL for an analytics dashboard.","low","True","True","cosine_sim=0.9424"
"Debug why a CI pipeline passes locally but fails in GitHub Actions.","low","True","True","cosine_sim=0.9531"
"Compare on-device inference vs cloud inference for a health app.","high","False","True","cosine_sim=0.7178; method=long_cosine; short_output=false; substring_match=false"
"Plan a migration from REST to gRPC for five internal services.","low","True","True","cosine_sim=0.9393"
"Evaluate whether to build or buy an authentication service.","low","True","True","cosine_sim=0.9271"
"Trace through why a binary search might return wrong index on duplicates.","high","False","True","cosine_sim=0.6358; method=long_cosine; short_output=false; substring_match=false"
"Design a caching strategy for a read-heavy product catalog.","low","True","True","cosine_sim=0.9292"
"Compare batch vs streaming ETL for nightly reporting jobs.","low","True","True","cosine_sim=0.9224"
"Analyze security risks of storing PII in application logs.","low","True","True","cosine_sim=0.9729"
"Propose an architecture for offline-first mobile sync.","low","True","True","cosine_sim=0.8540"
"Debug a memory leak that appears only after 24 hours of uptime.","low","True","True","cosine_sim=0.9137"
"Compare event-driven vs request-response for order processing.","low","True","True","cosine_sim=0.8686"
"Design a rollout plan for a breaking API version change.","low","True","True","cosine_sim=0.9039"
"Analyze why gradient boosting might beat logistic regression here.","low","True","True","cosine_sim=0.9729"
"Plan how to label training data for a routing classifier.","high","False","True","cosine_sim=0.8323; method=long_cosine; short_output=false; substring_match=false"
"Compare synchronous vs asynchronous worker queues for email delivery.","low","True","True","cosine_sim=0.9527"
"Design a fallback strategy when the primary LLM provider is down.","low","True","True","cosine_sim=0.9040"
"Debug inconsistent A/B test results across mobile and web.","low","True","True","cosine_sim=0.8774"
"Analyze tradeoffs of strong vs eventual consistency in carts.","high","False","True","cosine_sim=0.8352; method=long_cosine; short_output=false; substring_match=false"
"Propose monitoring metrics for an adaptive inference router.","low","True","True","cosine_sim=0.9162"
"Compare feature stores vs ad hoc feature extraction in ML pipelines.","low","True","True","cosine_sim=0.9489"
"Design a policy engine that enforces privacy constraints on routing.","low","True","True","cosine_sim=0.8839"
"Debug why cosine similarity labels disagree with human judgment.","high","False","True","cosine_sim=0.5941; method=long_cosine; short_output=false; substring_match=false"
"Analyze cost-quality tradeoffs for small vs large local models.","low","True","True","cosine_sim=0.9055"
"Plan a data collection pipeline comparing model outputs automatically.","low","True","True","cosine_sim=0.8700"
"Compare regex PII detection vs NER for a sensitivity gate.","high","False","True","cosine_sim=0.7892; method=long_cosine; short_output=false; substring_match=false"
"Design tests for a routing engine with hard privacy rules.","low","True","True","cosine_sim=0.9293"
"Debug why a classifier routes too many requests to cloud.","low","True","True","cosine_sim=0.9341"
"Analyze when to degrade to a large local model instead of cloud.","low","True","True","cosine_sim=0.8875"
"Propose thresholds for low vs high complexity routing bands.","high","False","True","cosine_sim=0.8183; method=long_cosine; short_output=false; substring_match=false"
"Compare logistic regression vs gradient boosting for interpretability.","low","True","True","cosine_sim=0.8557"
"Design telemetry to explain every routing decision to developers.","low","True","True","cosine_sim=0.9046"
"Debug training-serving skew in a complexity classifier.","low","True","True","cosine_sim=0.9076"
"Analyze failure modes when small models hallucinate on hard prompts.","high","False","True","cosine_sim=0.6631; method=long_cosine; short_output=false; substring_match=false"
"Plan how to validate routing accuracy before production rollout.","low","True","True","cosine_sim=0.9265"
"Compare OpenAI-compatible adapters across local and cloud targets.","low","True","True","cosine_sim=0.9429"
"Design a 2x2 routing table for complexity and sensitivity signals.","high","False","True","cosine_sim=0.7055; method=long_cosine; short_output=false; substring_match=false"
"Debug why sensitive long prompts still hit cloud endpoints.","high","False","True","cosine_sim=0.8077; method=long_cosine; short_output=false; substring_match=false"
"Analyze latency budget for regex gate plus classifier plus inference.","low","True","True","cosine_sim=0.9211"
"Propose a labeling heuristic using embedding similarity between outputs.","high","False","True","cosine_sim=0.6992; method=long_cosine; short_output=false; substring_match=false"
"Compare quantizations Q4_K_M vs Q8_0 for local model quality.","low","True","True","cosine_sim=0.9246"
"Design an SDK that hides whether inference ran locally or in cloud.","low","True","True","cosine_sim=0.9175"
"Debug shard loading for multi-part GGUF models in llama.cpp.","low","True","True","cosine_sim=0.9348"
"Analyze how to keep all seven router tests passing during migration.","high","False","True","cosine_sim=0.8486; method=long_cosine; short_output=false; substring_match=false"
"Plan documentation metrics for classifier accuracy and cost savings.","high","False","True","cosine_sim=0.8230; method=long_cosine; short_output=false; substring_match=false"
"What is the capital of Germany?","low","true","true","cosine_sim=1.0000; method=short_substring_match; short_output=true; substring_match=true"
"How many seconds are in a minute?","low","true","true","cosine_sim=1.0000; method=short_substring_match; short_output=true; substring_match=true"
"What is the chemical symbol for iron?","low","true","true","cosine_sim=1.0000; method=short_substring_match; short_output=true; substring_match=true"
"Who painted The Starry Night?","low","true","true","cosine_sim=0.8332; method=short_substring_match; short_output=true; substring_match=true"
"What is 25 multiplied by 4?","low","true","true","cosine_sim=0.8540; method=short_substring_match; short_output=true; substring_match=true"
"How many bones are in the adult human body?","low","true","true","cosine_sim=0.8432; method=short_substring_match; short_output=true; substring_match=true"
"What planet is known as the Red Planet?","low","true","true","cosine_sim=0.8754; method=short_substring_match; short_output=true; substring_match=true"
"What is the largest desert in the world?","low","true","true","cosine_sim=0.8336; method=factual_substring_match; short_output=false; substring_match=true"
"Who discovered gravity?","low","true","true","cosine_sim=0.8405; method=factual_substring_match; short_output=false; substring_match=true"
"What is the melting point of ice in Celsius?","low","true","true","cosine_sim=0.8730; method=short_substring_match; short_output=true; substring_match=true"
"How many sides does a pentagon have?","low","true","true","cosine_sim=0.7989; method=short_substring_match; short_output=true; substring_match=true"
"What year did the Titanic sink?","low","true","true","cosine_sim=0.9117; method=short_substring_match; short_output=true; substring_match=true"
"What is the speed of sound in air at sea level?","low","true","true","cosine_sim=0.8496; method=factual_substring_match; short_output=false; substring_match=true"
"What is the deepest ocean trench called?","low","true","true","cosine_sim=0.9785; method=factual_substring_match; short_output=false; substring_match=true"
"How many bits are in a byte?","low","true","true","cosine_sim=0.9682; method=short_substring_match; short_output=true; substring_match=true"
"What language is spoken in Mexico?","low","true","true","cosine_sim=0.8869; method=long_cosine; short_output=false; substring_match=false"
"What is the cube root of 27?","low","true","true","cosine_sim=0.9328; method=short_substring_match; short_output=true; substring_match=true"
"Who invented the light bulb?","low","true","true","cosine_sim=0.8082; method=short_substring_match; short_output=true; substring_match=true"
"What is CO2 commonly known as?","low","true","true","cosine_sim=0.7927; method=short_substring_match; short_output=true; substring_match=true"
"How many moons does Earth have?","low","true","true","cosine_sim=0.8333; method=short_substring_match; short_output=true; substring_match=true"
"What is the currency of Japan?","low","true","true","cosine_sim=0.8900; method=short_substring_match; short_output=true; substring_match=true"
"What color do you get by mixing yellow and blue?","low","true","true","cosine_sim=0.7295; method=short_substring_match; short_output=true; substring_match=true"
"How many ounces are in a pound?","low","true","true","cosine_sim=1.0000; method=short_substring_match; short_output=true; substring_match=true"
"What is the capital of India?","low","true","true","cosine_sim=1.0000; method=short_substring_match; short_output=true; substring_match=true"
"Who was the first woman to win a Nobel Prize?","low","true","true","cosine_sim=0.9120; method=long_cosine; short_output=false; substring_match=false"
"What is the boiling point of water in Fahrenheit?","low","true","true","cosine_sim=0.9179; method=short_substring_match; short_output=true; substring_match=true"
"How many teeth does an adult human typically have?","low","true","true","cosine_sim=0.9471; method=factual_substring_match; short_output=false; substring_match=true"
"What is the fastest land animal?","low","true","true","cosine_sim=0.9644; method=factual_substring_match; short_output=false; substring_match=true"
"What gas do humans exhale?","low","true","true","cosine_sim=0.7440; method=short_substring_match; short_output=true; substring_match=true"
"How many time zones does Russia span?","low","true","true","cosine_sim=0.8425; method=short_substring_match; short_output=true; substring_match=true"
"What is the largest internal organ in the human body?","low","true","true","cosine_sim=0.8109; method=short_substring_match; short_output=true; substring_match=true"
"Who developed the polio vaccine?","low","true","true","cosine_sim=0.8723; method=short_substring_match; short_output=true; substring_match=true"
"What is the main ingredient in guacamole?","low","true","true","cosine_sim=1.0000; method=short_substring_match; short_output=true; substring_match=true"
"How many months have 31 days?","low","true","true","cosine_sim=0.8347; method=factual_substring_match; short_output=false; substring_match=true"
"What is the capital of Brazil?","low","true","true","cosine_sim=0.8814; method=short_substring_match; short_output=true; substring_match=true"
"What instrument is known as the king of instruments?","low","true","true","cosine_sim=0.4809; method=short_substring_match; short_output=true; substring_match=true"
"How many millimeters are in a centimeter?","low","true","true","cosine_sim=0.8675; method=factual_substring_match; short_output=false; substring_match=true"
"What is the chemical formula for methane?","low","true","true","cosine_sim=0.9723; method=short_substring_match; short_output=true; substring_match=true"
"Who wrote Pride and Prejudice?","low","true","true","cosine_sim=0.8827; method=short_substring_match; short_output=true; substring_match=true"
"What is the smallest country by area?","low","true","true","cosine_sim=0.9454; method=factual_substring_match; short_output=false; substring_match=true"
"How many days are in a non-leap year February?","low","true","true","cosine_sim=1.0000; method=short_substring_match; short_output=true; substring_match=true"
"What is the primary language of South Korea?","low","true","true","cosine_sim=1.0000; method=short_substring_match; short_output=true; substring_match=true"
"What is 81 divided by 9?","low","true","true","cosine_sim=0.8913; method=factual_substring_match; short_output=false; substring_match=true"
"What organ filters blood in the human body?","low","true","true","cosine_sim=0.8902; method=short_substring_match; short_output=true; substring_match=true"
"How many degrees are in a straight angle?","low","true","true","cosine_sim=0.8738; method=short_cosine; short_output=true; substring_match=false"
"What is the capital of Egypt?","low","true","true","cosine_sim=1.0000; method=short_substring_match; short_output=true; substring_match=true"
"Who discovered radium?","low","true","true","cosine_sim=0.9019; method=factual_substring_match; short_output=false; substring_match=true"
"What is the softest mineral on the Mohs scale?","low","true","true","cosine_sim=0.9580; method=short_substring_match; short_output=true; substring_match=true"
"How many players are on a basketball team?","low","true","true","cosine_sim=0.8895; method=factual_substring_match; short_output=false; substring_match=true"
"What is the atomic number of oxygen?","low","true","true","cosine_sim=0.8911; method=short_substring_match; short_output=true; substring_match=true"
"Explain how vaccines create immunity in simple terms.","high","false","true","cosine_sim=0.8150; method=long_cosine; short_output=false; substring_match=false"
"What is the difference between evaporation and condensation?","low","true","true","cosine_sim=0.8594; method=factual_substring_match; short_output=false; substring_match=true"
"Describe what a load balancer does to a non-technical person.","high","false","true","cosine_sim=0.8134; method=long_cosine; short_output=false; substring_match=false"
"How does a microwave oven heat food?","high","false","true","cosine_sim=0.8059; method=long_cosine; short_output=false; substring_match=false"
"Explain the concept of opportunity cost.","low","true","true","cosine_sim=0.9403; method=long_cosine; short_output=false; substring_match=false"
"What is deep learning in plain English?","low","true","true","cosine_sim=0.8811; method=factual_substring_match; short_output=false; substring_match=true"
"Describe how antibiotics fight bacterial infections.","high","false","true","cosine_sim=0.8297; method=long_cosine; short_output=false; substring_match=false"
"What is the difference between CPU and GPU?","low","true","true","cosine_sim=0.9272; method=factual_substring_match; short_output=false; substring_match=true"
"Explain how tides are caused.","low","true","true","cosine_sim=0.9671; method=long_cosine; short_output=false; substring_match=false"
"What does compound interest mean for savers?","low","true","true","cosine_sim=0.9303; method=factual_substring_match; short_output=false; substring_match=true"
"Describe the carbon cycle briefly.","low","true","true","cosine_sim=0.9408; method=long_cosine; short_output=false; substring_match=false"
"How does Wi-Fi transmit data wirelessly?","low","true","true","cosine_sim=0.9012; method=long_cosine; short_output=false; substring_match=false"
"Explain what database normalization achieves.","low","true","true","cosine_sim=0.9376; method=long_cosine; short_output=false; substring_match=false"
"What is the difference between GET and POST in HTTP?","low","true","true","cosine_sim=0.8716; method=factual_substring_match; short_output=false; substring_match=true"
"Describe how hybrid cars combine power sources.","low","true","true","cosine_sim=0.8865; method=long_cosine; short_output=false; substring_match=false"
"Explain what a decision tree is at a high level.","low","true","true","cosine_sim=0.9217; method=long_cosine; short_output=false; substring_match=false"
"How do operating systems manage memory?","high","false","true","cosine_sim=0.8355; method=long_cosine; short_output=false; substring_match=false"
"What is the purpose of a digital signature?","low","true","true","cosine_sim=0.9256; method=factual_substring_match; short_output=false; substring_match=true"
"Explain how tariffs affect international trade.","low","true","true","cosine_sim=0.8958; method=long_cosine; short_output=false; substring_match=false"
"Describe what refactoring means in software.","low","true","true","cosine_sim=0.9446; method=long_cosine; short_output=false; substring_match=false"
"How does RSA encryption work conceptually?","low","true","true","cosine_sim=0.9141; method=long_cosine; short_output=false; substring_match=false"
"Explain the difference between sensitivity and specificity.","low","true","true","cosine_sim=0.9145; method=long_cosine; short_output=false; substring_match=false"
"What happens during a lunar eclipse?","low","true","true","cosine_sim=0.7511; method=factual_substring_match; short_output=false; substring_match=true"
"Describe how autoscaling helps cloud applications.","low","true","true","cosine_sim=0.9608; method=long_cosine; short_output=false; substring_match=false"
"Explain what a bond yield represents in finance.","low","true","true","cosine_sim=0.9336; method=long_cosine; short_output=false; substring_match=false"
"How does a B-tree index speed up queries?","low","true","true","cosine_sim=0.9498; method=long_cosine; short_output=false; substring_match=false"
"What is the difference between IPv4 and IPv6?","low","true","true","cosine_sim=0.8979; method=factual_substring_match; short_output=false; substring_match=true"
"Explain how a heat pump transfers warmth.","low","true","true","cosine_sim=0.9637; method=long_cosine; short_output=false; substring_match=false"
"Describe what user stories aim to capture.","high","false","true","cosine_sim=0.8233; method=long_cosine; short_output=false; substring_match=false"
"How does memoization reduce computation time?","low","true","true","cosine_sim=0.9664; method=long_cosine; short_output=false; substring_match=false"
"Explain the role of ribosomes in protein synthesis.","low","true","true","cosine_sim=0.8933; method=long_cosine; short_output=false; substring_match=false"
"What is the difference between mean and median?","low","true","true","cosine_sim=0.9642; method=factual_substring_match; short_output=false; substring_match=true"
"Describe how anycast routing reduces latency.","low","true","true","cosine_sim=0.8948; method=long_cosine; short_output=false; substring_match=false"
"Explain what system design interviews typically assess.","low","true","true","cosine_sim=0.9023; method=long_cosine; short_output=false; substring_match=false"
"How does active noise control work in earbuds?","low","true","true","cosine_sim=0.9562; method=long_cosine; short_output=false; substring_match=false"
"What is the difference between a heap and a stack?","low","true","true","cosine_sim=0.8847; method=factual_substring_match; short_output=false; substring_match=true"
"Explain how wind turbines generate electricity.","low","true","true","cosine_sim=0.9489; method=long_cosine; short_output=false; substring_match=false"
"Describe what vendor due diligence involves.","low","true","true","cosine_sim=0.9594; method=long_cosine; short_output=false; substring_match=false"
"How does a skip list provide ordered lookups?","low","true","true","cosine_sim=0.9310; method=long_cosine; short_output=false; substring_match=false"
"Explain the basics of functional programming.","low","true","true","cosine_sim=0.8632; method=long_cosine; short_output=false; substring_match=false"
"What is the difference between bandwidth and throughput?","low","true","true","cosine_sim=0.9465; method=factual_substring_match; short_output=false; substring_match=true"
"Describe how intrusion detection systems work.","low","true","true","cosine_sim=0.9205; method=long_cosine; short_output=false; substring_match=false"
"Explain what acceptance criteria document.","low","true","true","cosine_sim=0.8809; method=long_cosine; short_output=false; substring_match=false"
"How does a publish-subscribe pattern decouple components?","low","true","true","cosine_sim=0.8648; method=long_cosine; short_output=false; substring_match=false"
"What is the difference between OLTP and OLAP?","low","true","true","cosine_sim=0.9687; method=factual_substring_match; short_output=false; substring_match=true"
"Describe how semantic versioning helps API consumers.","low","true","true","cosine_sim=0.9283; method=long_cosine; short_output=false; substring_match=false"
"Explain what operational risk means in production systems.","low","true","true","cosine_sim=0.9713; method=long_cosine; short_output=false; substring_match=false"
"How does a circuit breaker prevent cascading failures?","low","true","true","cosine_sim=0.9082; method=long_cosine; short_output=false; substring_match=false"
"What is the difference between supervised and unsupervised learning?","low","true","true","cosine_sim=0.9102; method=factual_substring_match; short_output=false; substring_match=true"
"Describe how accessibility standards improve web products.","high","false","true","cosine_sim=0.7907; method=long_cosine; short_output=false; substring_match=false"
"Compare serverless and container-based deployment for a seed-stage startup.","high","false","true","cosine_sim=0.8468; method=long_cosine; short_output=false; substring_match=false"
"A payment webhook fails intermittently. Outline a debugging plan.","low","true","true","cosine_sim=0.9726; method=long_cosine; short_output=false; substring_match=false"
"Design a token bucket rate limiter for a public API gateway.","low","true","true","cosine_sim=0.9060; method=long_cosine; short_output=false; substring_match=false"
"Given strict latency SLOs, propose three ways to speed up routing decisions.","high","false","true","cosine_sim=0.8260; method=long_cosine; short_output=false; substring_match=false"
"Analyze tradeoffs between columnar and row storage for event analytics.","high","false","true","cosine_sim=0.8300; method=long_cosine; short_output=false; substring_match=false"
"Debug why unit tests pass in CI but integration tests fail on staging.","low","true","true","cosine_sim=0.9556; method=long_cosine; short_output=false; substring_match=false"
"Compare federated learning vs centralized training for a hospital consortium.","low","true","true","cosine_sim=0.9533; method=long_cosine; short_output=false; substring_match=false"
"Plan a blue-green deployment for a stateful chat service.","low","true","true","cosine_sim=0.9310; method=long_cosine; short_output=false; substring_match=false"
"Evaluate whether to use Redis or Memcached for session caching.","low","true","true","cosine_sim=0.9395; method=long_cosine; short_output=false; substring_match=false"
"Trace through why a merge sort might degrade on nearly sorted input.","high","false","true","cosine_sim=0.8038; method=long_cosine; short_output=false; substring_match=false"
"Design a cache invalidation strategy for a news aggregation feed.","low","true","true","cosine_sim=0.9197; method=long_cosine; short_output=false; substring_match=false"
"Compare push vs pull notification architectures for mobile clients.","low","true","true","cosine_sim=0.9157; method=long_cosine; short_output=false; substring_match=false"
"Analyze security risks of logging raw request payloads in production.","low","true","true","cosine_sim=0.9559; method=long_cosine; short_output=false; substring_match=false"
"Propose an architecture for multi-region active-active failover.","low","true","true","cosine_sim=0.9044; method=long_cosine; short_output=false; substring_match=false"
"Debug a deadlock that appears only under concurrent checkout load.","low","true","true","cosine_sim=0.9656; method=long_cosine; short_output=false; substring_match=false"
"Compare saga vs two-phase commit for distributed order fulfillment.","low","true","true","cosine_sim=0.9680; method=long_cosine; short_output=false; substring_match=false"
"Design a rollout plan for enabling classifier-based routing in production.","high","false","true","cosine_sim=0.8442; method=long_cosine; short_output=false; substring_match=false"
"Analyze why random forests might outperform logistic regression on tabular data.","low","true","true","cosine_sim=0.9725; method=long_cosine; short_output=false; substring_match=false"
"Plan how to evaluate labeling quality before scaling data collection.","low","true","true","cosine_sim=0.9493; method=long_cosine; short_output=false; substring_match=false"
"Compare webhook retries vs message queues for third-party integrations.","high","false","true","cosine_sim=0.8379; method=long_cosine; short_output=false; substring_match=false"
"Design a fallback chain when local large models exceed memory limits.","high","false","true","cosine_sim=0.8420; method=long_cosine; short_output=false; substring_match=false"
"Debug inconsistent latency spikes on only one Kubernetes node pool.","low","true","true","cosine_sim=0.9741; method=long_cosine; short_output=false; substring_match=false"
"Analyze tradeoffs of encrypting telemetry payloads end to end.","low","true","true","cosine_sim=0.9724; method=long_cosine; short_output=false; substring_match=false"
"Propose monitoring dashboards for routing accuracy and cost per request.","low","true","true","cosine_sim=0.9606; method=long_cosine; short_output=false; substring_match=false"
"Compare online vs batch feature computation for a routing classifier.","low","true","true","cosine_sim=0.9543; method=long_cosine; short_output=false; substring_match=false"
"Design a policy DSL that expresses hard privacy rules declaratively.","low","true","true","cosine_sim=0.9143; method=long_cosine; short_output=false; substring_match=false"
"Debug why embedding features hurt minority-class F1 on noisy labels.","low","true","true","cosine_sim=0.9277; method=long_cosine; short_output=false; substring_match=false"
"Analyze cost-latency tradeoffs for quantizing a 7B model to Q3_K_M.","high","false","true","cosine_sim=0.7406; method=long_cosine; short_output=false; substring_match=false"
"Plan a pipeline to audit routing decisions for compliance review.","low","true","true","cosine_sim=0.9200; method=long_cosine; short_output=false; substring_match=false"
"Compare rules-based vs ML-based sensitivity detection for PII.","low","true","true","cosine_sim=0.9370; method=long_cosine; short_output=false; substring_match=false"
"Design integration tests for a router that switches between three targets.","low","true","true","cosine_sim=0.9259; method=long_cosine; short_output=false; substring_match=false"
"Debug why a classifier over-routes easy prompts to cloud endpoints.","high","false","true","cosine_sim=0.8066; method=long_cosine; short_output=false; substring_match=false"
