"prompt","ground_truth_hard","sensitivity_flag","target","reason","complexity_level","complexity_score","input_tokens_est"
"How many minutes are in three hours?","True","False","small_local","classifier:small_sufficient=True; complexity_score=0.294; confidence=0.706; complexity=LOW; sensitivity=LOW -> small_local","low","0.294290802769676","9"
"What is the capital of Australia?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.236; confidence=0.764; complexity=LOW; sensitivity=HIGH -> small_local","low","0.23571087027974602","8"
"Who was the first president of the United States?","False","True","small_local","classifier:small_sufficient=False; complexity_score=0.536; confidence=0.536; complexity=LOW; sensitivity=HIGH -> small_local","low","0.5364725195552027","12"
"What is the freezing point of water in Fahrenheit?","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.551; confidence=0.551; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.5512628635293966","12"
"How many legs does a spider have?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.259; confidence=0.741; complexity=LOW; sensitivity=LOW -> small_local","low","0.25855178671371815","8"
"What is the largest mammal?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.160; confidence=0.840; complexity=LOW; sensitivity=LOW -> small_local","low","0.1601758731704882","6"
"What gas do plants absorb from the atmosphere?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.461; confidence=0.539; complexity=LOW; sensitivity=LOW -> small_local","low","0.46118929947189713","11"
"How many states are in the United States?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.388; confidence=0.612; complexity=LOW; sensitivity=HIGH -> small_local","low","0.38848621262278304","10"
"What is the smallest prime number?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.247; confidence=0.753; complexity=LOW; sensitivity=LOW -> small_local","low","0.24662104925416417","8"
"Who developed the theory of relativity?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.306; confidence=0.694; complexity=LOW; sensitivity=LOW -> small_local","low","0.3060627680540159","9"
"What is the main ingredient in bread?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.307; confidence=0.693; complexity=LOW; sensitivity=LOW -> small_local","low","0.30682391821871013","9"
"How many hours are in a day?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.206; confidence=0.794; complexity=LOW; sensitivity=LOW -> small_local","low","0.20560345706795258","7"
"What is the capital of Canada?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.205; confidence=0.795; complexity=LOW; sensitivity=HIGH -> small_local","low","0.20501914073012206","7"
"What instrument has 88 keys?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.168; confidence=0.832; complexity=LOW; sensitivity=LOW -> small_local","low","0.1683599794831957","7"
"How many centimeters are in one meter?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.320; confidence=0.680; complexity=LOW; sensitivity=LOW -> small_local","low","0.3196490254391947","9"
"What is the chemical formula for table salt?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.432; confidence=0.568; complexity=LOW; sensitivity=LOW -> small_local","low","0.4317277688766217","11"
"Who wrote the Harry Potter series?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.247; confidence=0.753; complexity=LOW; sensitivity=HIGH -> small_local","low","0.24662104925416417","8"
"What is the largest country by area?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.294; confidence=0.706; complexity=LOW; sensitivity=LOW -> small_local","low","0.294290802769676","9"
"How many weeks are in a year?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.216; confidence=0.784; complexity=LOW; sensitivity=LOW -> small_local","low","0.2155130297886575","7"
"What is the primary language of Egypt?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.320; confidence=0.680; complexity=LOW; sensitivity=HIGH -> small_local","low","0.3196490254391947","9"
"What is 100 divided by 4?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.161; confidence=0.839; complexity=LOW; sensitivity=LOW -> small_local","low","0.16065821199535724","6"
"What organ pumps blood through the body?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.346; confidence=0.654; complexity=LOW; sensitivity=LOW -> small_local","low","0.34612062201812444","10"
"How many degrees are in a right angle?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.347; confidence=0.653; complexity=LOW; sensitivity=LOW -> small_local","low","0.3469315876115655","9"
"What is the capital of Italy?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.195; confidence=0.805; complexity=LOW; sensitivity=HIGH -> small_local","low","0.19547185986124738","7"
"Who discovered penicillin?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.123; confidence=0.877; complexity=LOW; sensitivity=LOW -> small_local","low","0.12322842567477554","6"
"What is the hardest natural substance?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.294; confidence=0.706; complexity=LOW; sensitivity=LOW -> small_local","low","0.2935475773531605","9"
"How many players are on a soccer team?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.347; confidence=0.653; complexity=LOW; sensitivity=LOW -> small_local","low","0.3469315876115655","9"
"What is the atomic number of carbon?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.294; confidence=0.706; complexity=LOW; sensitivity=LOW -> small_local","low","0.294290802769676","9"
"What is the capital of Spain?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.195; confidence=0.805; complexity=LOW; sensitivity=HIGH -> small_local","low","0.19547185986124738","7"
"Explain how photosynthesis works in simple terms.","True","False","small_local","classifier:small_sufficient=True; complexity_score=0.400; confidence=0.600; complexity=LOW; sensitivity=LOW -> small_local","low","0.39996093972428437","12"
"What is the difference between weather and climate?","False","False","small_local","classifier:small_sufficient=False; complexity_score=0.536; confidence=0.536; complexity=LOW; sensitivity=LOW -> small_local","low","0.5355818479419019","12"
"Describe what an API is to a non-technical person.","False","True","small_local","classifier:small_sufficient=False; complexity_score=0.501; confidence=0.501; complexity=LOW; sensitivity=HIGH -> small_local","low","0.5009469739902023","12"
"How does a refrigerator keep food cold?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.333; confidence=0.667; complexity=LOW; sensitivity=LOW -> small_local","low","0.3327528743798074","9"
"Explain the concept of supply and demand.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.293; confidence=0.707; complexity=LOW; sensitivity=LOW -> small_local","low","0.29263381435421076","10"
"What is machine learning in plain English?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.374; confidence=0.626; complexity=LOW; sensitivity=LOW -> small_local","low","0.37358069693134976","10"
"Describe how vaccines help the immune system.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.340; confidence=0.660; complexity=LOW; sensitivity=LOW -> small_local","low","0.3401044092970932","11"
"What is the difference between RAM and storage?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.476; confidence=0.524; complexity=LOW; sensitivity=HIGH -> small_local","low","0.4760356510884848","11"
"Explain how earthquakes happen.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.136; confidence=0.864; complexity=LOW; sensitivity=LOW -> small_local","low","0.13618229059694242","7"
"What does inflation mean for everyday consumers?","True","False","small_local","classifier:small_sufficient=True; complexity_score=0.460; confidence=0.540; complexity=LOW; sensitivity=LOW -> small_local","low","0.4602994982687705","12"
"Describe the water cycle briefly.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.165; confidence=0.835; complexity=LOW; sensitivity=LOW -> small_local","low","0.1646555191111927","8"
"How does GPS determine your location?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.281; confidence=0.719; complexity=LOW; sensitivity=LOW -> small_local","low","0.2813366671165547","9"
"Explain what a database index does.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.204; confidence=0.796; complexity=LOW; sensitivity=LOW -> small_local","low","0.20371969283056712","8"
"What is the difference between HTTP and HTTPS?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.461; confidence=0.539; complexity=LOW; sensitivity=LOW -> small_local","low","0.46118929947189713","11"
"Describe how electric cars differ from gas cars.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.411; confidence=0.589; complexity=LOW; sensitivity=LOW -> small_local","low","0.41068760480919153","12"
"Explain what a neural network is at a high level.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.491; confidence=0.509; complexity=LOW; sensitivity=LOW -> small_local","low","0.4907172929563932","12"
"How do compilers turn code into programs?","True","False","small_local","classifier:small_sufficient=True; complexity_score=0.360; confidence=0.640; complexity=LOW; sensitivity=LOW -> small_local","low","0.35973586610485053","10"
"What is the purpose of a checksum?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.270; confidence=0.730; complexity=LOW; sensitivity=LOW -> small_local","low","0.2701455015508145","8"
"Explain how interest rates affect borrowing costs.","True","False","small_local","classifier:small_sufficient=True; complexity_score=0.414; confidence=0.586; complexity=LOW; sensitivity=LOW -> small_local","low","0.414352007570866","12"
"Describe what technical debt means in software.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.367; confidence=0.633; complexity=LOW; sensitivity=LOW -> small_local","low","0.3673553327703445","11"
"How does public key encryption work conceptually?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.475; confidence=0.525; complexity=LOW; sensitivity=LOW -> small_local","low","0.4751424651859196","12"
"Explain the difference between precision and recall.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.444; confidence=0.556; complexity=LOW; sensitivity=LOW -> small_local","low","0.4435533035308409","13"
"What happens during a solar eclipse?","True","False","small_local","classifier:small_sufficient=True; complexity_score=0.269; confidence=0.731; complexity=LOW; sensitivity=LOW -> small_local","low","0.26943997300424216","9"
"Describe how load balancing improves web apps.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.354; confidence=0.646; complexity=LOW; sensitivity=LOW -> small_local","low","0.3536109775128904","11"
"Explain what technical analysis means in finance.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.400; confidence=0.600; complexity=LOW; sensitivity=LOW -> small_local","low","0.39996093972428437","12"
"How does a hash table provide fast lookups?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.417; confidence=0.583; complexity=LOW; sensitivity=LOW -> small_local","low","0.4171630842241627","10"
"What is the difference between TCP and UDP?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.417; confidence=0.583; complexity=LOW; sensitivity=HIGH -> small_local","low","0.4171630842241627","10"
"Explain how a thermostat maintains temperature.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.344; confidence=0.656; complexity=LOW; sensitivity=LOW -> small_local","low","0.34350612401548275","11"
"Describe what technical writing aims to accomplish.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.424; confidence=0.576; complexity=LOW; sensitivity=LOW -> small_local","low","0.42431609594032704","12"
"How does caching reduce latency?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.204; confidence=0.796; complexity=LOW; sensitivity=LOW -> small_local","low","0.20443605764257822","8"
"Explain the role of mitochondria in cells.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.305; confidence=0.695; complexity=LOW; sensitivity=LOW -> small_local","low","0.30512687378036785","10"
"What is the difference between correlation and causation?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.623; confidence=0.623; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6225338974114899","14"
"Describe how a CDN speeds up websites.","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.253; confidence=0.747; complexity=LOW; sensitivity=HIGH -> small_local","low","0.2534676566404632","9"
"Explain what technical interviews typically assess.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.399; confidence=0.601; complexity=LOW; sensitivity=LOW -> small_local","low","0.3991017690398223","12"
"How does noise cancellation work in headphones?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.446; confidence=0.554; complexity=LOW; sensitivity=LOW -> small_local","low","0.44552661531340687","11"
"What is the difference between a stack and a queue?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.596; confidence=0.596; complexity=HIGH; sensitivity=LOW -> cloud","high","0.5958565908331965","12"
"Explain how solar panels generate electricity.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.330; confidence=0.670; complexity=LOW; sensitivity=LOW -> small_local","low","0.33018836280257213","11"
"Describe what technical due diligence involves.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.339; confidence=0.661; complexity=LOW; sensitivity=LOW -> small_local","low","0.3393011111162749","11"
"How does a bloom filter save memory?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.294; confidence=0.706; complexity=LOW; sensitivity=LOW -> small_local","low","0.294290802769676","9"
"Explain the basics of object-oriented programming.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.414; confidence=0.586; complexity=LOW; sensitivity=LOW -> small_local","low","0.414352007570866","12"
"What is the difference between latency and throughput?","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.580; confidence=0.580; complexity=HIGH; sensitivity=LOW -> cloud","high","0.5796758450015174","13"
"Describe how firewalls protect networks.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.230; confidence=0.770; complexity=LOW; sensitivity=LOW -> small_local","low","0.2303005501454779","10"
"Explain what technical specifications document.","True","False","small_local","classifier:small_sufficient=True; complexity_score=0.316; confidence=0.684; complexity=LOW; sensitivity=LOW -> small_local","low","0.31636244602990216","11"
"How does a binary search algorithm work?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.346; confidence=0.654; complexity=LOW; sensitivity=LOW -> small_local","low","0.34612062201812444","10"
"What is the difference between AI and automation?","False","True","small_local","classifier:small_sufficient=False; complexity_score=0.506; confidence=0.506; complexity=LOW; sensitivity=HIGH -> small_local","low","0.5058294219856483","12"
"Describe how version control helps teams collaborate.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.454; confidence=0.546; complexity=LOW; sensitivity=LOW -> small_local","low","0.45367563200976535","13"
"Explain what technical risk means in projects.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.358; confidence=0.642; complexity=LOW; sensitivity=LOW -> small_local","low","0.3578972682698407","11"
"How does a message queue decouple services?","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.388; confidence=0.612; complexity=LOW; sensitivity=LOW -> small_local","low","0.38763576735064464","10"
"What is the difference between SQL and NoSQL?","False","True","small_local","classifier:small_sufficient=True; complexity_score=0.446; confidence=0.554; complexity=LOW; sensitivity=HIGH -> small_local","low","0.446411480285707","11"
"Describe how technical standards improve interoperability.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.497; confidence=0.503; complexity=LOW; sensitivity=LOW -> small_local","low","0.49736571866886203","14"
"Compare microservices and monoliths for a fintech startup with 10 engineers.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.845; confidence=0.845; complexity=HIGH; sensitivity=LOW -> cloud","high","0.8449547396423832","19"
"A user reports slow checkout. List a step-by-step debugging plan.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.758; confidence=0.758; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7583806817832215","16"
"Design a rate limiter for an API handling 10k requests per second.","True","True","large_local","classifier:small_sufficient=False; complexity_score=0.772; confidence=0.772; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.7724414599656441","16"
"Given rising cloud costs, propose three ways to reduce inference spend.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.799; confidence=0.799; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7987885718106297","17"
"Analyze tradeoffs between SQL and NoSQL for an analytics dashboard.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.738; confidence=0.738; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.7380990552439878","16"
"Debug why a CI pipeline passes locally but fails in GitHub Actions.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.786; confidence=0.786; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.7859149724094396","16"
"Compare on-device inference vs cloud inference for a health app.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.727; confidence=0.727; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7271217362147142","16"
"Plan a migration from REST to gRPC for five internal services.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.699; confidence=0.699; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6989108241171608","15"
"Evaluate whether to build or buy an authentication service.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.607; confidence=0.607; complexity=HIGH; sensitivity=LOW -> cloud","high","0.607372795343487","14"
"Trace through why a binary search might return wrong index on duplicates.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.840; confidence=0.840; complexity=HIGH; sensitivity=LOW -> cloud","high","0.8399994886647265","18"
"Design a caching strategy for a read-heavy product catalog.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.636; confidence=0.636; complexity=HIGH; sensitivity=LOW -> cloud","high","0.636247306727698","14"
"Compare batch vs streaming ETL for nightly reporting jobs.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.593; confidence=0.593; complexity=HIGH; sensitivity=LOW -> cloud","high","0.5930666487216105","14"
"Analyze security risks of storing PII in application logs.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.593; confidence=0.593; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.5930666487216105","14"
"Propose an architecture for offline-first mobile sync.","False","False","small_local","classifier:small_sufficient=True; complexity_score=0.499; confidence=0.501; complexity=LOW; sensitivity=LOW -> small_local","low","0.4991563355091756","13"
"Debug a memory leak that appears only after 24 hours of uptime.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.739; confidence=0.739; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7394812785765603","15"
"Compare event-driven vs request-response for order processing.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.649; confidence=0.649; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6491162048356327","15"
"Design a rollout plan for a breaking API version change.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.594; confidence=0.594; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.5939306611219859","14"
"Analyze why gradient boosting might beat logistic regression here.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.705; confidence=0.705; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7052360618910061","16"
"Plan how to label training data for a routing classifier.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.604; confidence=0.604; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6037611880026006","14"
"Compare synchronous vs asynchronous worker queues for email delivery.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.737; confidence=0.737; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7374061719210447","17"
"Design a fallback strategy when the primary LLM provider is down.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.739; confidence=0.739; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7387907579322801","16"
"Debug inconsistent A/B test results across mobile and web.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.622; confidence=0.622; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6223390702589637","14"
"Analyze tradeoffs of strong vs eventual consistency in carts.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.635; confidence=0.635; complexity=HIGH; sensitivity=LOW -> cloud","high","0.635418063278853","15"
"Propose monitoring metrics for an adaptive inference router.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.588; confidence=0.588; complexity=HIGH; sensitivity=LOW -> cloud","high","0.5876779229016136","15"
"Compare feature stores vs ad hoc feature extraction in ML pipelines.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.772; confidence=0.772; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.7718113438729756","17"
"Design a policy engine that enforces privacy constraints on routing.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.749; confidence=0.749; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7494604018087936","17"
"Debug why cosine similarity labels disagree with human judgment.","True","True","large_local","classifier:small_sufficient=False; complexity_score=0.680; confidence=0.680; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.679855565177789","16"
"Analyze cost-quality tradeoffs for small vs large local models.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.689; confidence=0.689; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6894635177595454","15"
"Plan a data collection pipeline comparing model outputs automatically.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.745; confidence=0.745; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7452531007050074","17"
"Compare regex PII detection vs NER for a sensitivity gate.","True","True","large_local","classifier:small_sufficient=False; complexity_score=0.622; confidence=0.622; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.6223390702589637","14"
"Design tests for a routing engine with hard privacy rules.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.622; confidence=0.622; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6223390702589637","14"
"Debug why a classifier routes too many requests to cloud.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.613; confidence=0.613; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.6126737693077731","14"
"Analyze when to degrade to a large local model instead of cloud.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.751; confidence=0.751; complexity=HIGH; sensitivity=LOW -> cloud","high","0.750802907989801","16"
"Propose thresholds for low vs high complexity routing bands.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.617; confidence=0.617; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6170877031916617","15"
"Compare logistic regression vs gradient boosting for interpretability.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.725; confidence=0.725; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7249847950825803","17"
"Design telemetry to explain every routing decision to developers.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.693; confidence=0.693; complexity=HIGH; sensitivity=LOW -> cloud","high","0.692691571161123","16"
"Debug training-serving skew in a complexity classifier.","False","False","small_local","classifier:small_sufficient=False; complexity_score=0.519; confidence=0.519; complexity=LOW; sensitivity=LOW -> small_local","low","0.5187292289119858","13"
"Analyze failure modes when small models hallucinate on hard prompts.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.749; confidence=0.749; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7494604018087936","17"
"Plan how to validate routing accuracy before production rollout.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.672; confidence=0.672; complexity=HIGH; sensitivity=LOW -> cloud","high","0.6716604113197946","16"
"Compare OpenAI-compatible adapters across local and cloud targets.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.701; confidence=0.701; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.7013334954767261","16"
"Design a 2x2 routing table for complexity and sensitivity signals.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.726; confidence=0.726; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7264105761235927","16"
"Debug why sensitive long prompts still hit cloud endpoints.","True","True","large_local","classifier:small_sufficient=False; complexity_score=0.612; confidence=0.612; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.6118235726560501","14"
"Analyze latency budget for regex gate plus classifier plus inference.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.760; confidence=0.760; complexity=HIGH; sensitivity=LOW -> cloud","high","0.760488820915667","17"
"Propose a labeling heuristic using embedding similarity between outputs.","True","False","cloud","classifier:small_sufficient=False; complexity_score=0.767; confidence=0.767; complexity=HIGH; sensitivity=LOW -> cloud","high","0.7672241511324767","18"
"Compare quantizations Q4_K_M vs Q8_0 for local model quality.","False","False","cloud","classifier:small_sufficient=False; complexity_score=0.635; confidence=0.635; complexity=HIGH; sensitivity=LOW -> cloud","high","0.635418063278853","15"
"Design an SDK that hides whether inference ran locally or in cloud.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.783; confidence=0.783; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.7827515179627529","16"
"Debug shard loading for multi-part GGUF models in llama.cpp.","False","True","large_local","classifier:small_sufficient=False; complexity_score=0.677; confidence=0.677; complexity=HIGH; sensitivity=HIGH -> large_local","high","0.6773388263628505","15"
