prompt,complexity_label,small_sufficient,large_sufficient,notes
"Compare microservices and monoliths for a fintech startup with 10 engineers.","low","true","true","cosine_sim=0.8944"
"A user reports slow checkout. List a step-by-step debugging plan.","high","false","true","cosine_sim=0.8149"
"Design a rate limiter for an API handling 10k requests per second.","high","false","true","cosine_sim=0.8475"
"Given rising cloud costs, propose three ways to reduce inference spend.","high","false","true","cosine_sim=0.5716"
"Analyze tradeoffs between SQL and NoSQL for an analytics dashboard.","low","true","true","cosine_sim=0.9424"
"Debug why a CI pipeline passes locally but fails in GitHub Actions.","low","true","true","cosine_sim=0.9531"
"Compare on-device inference vs cloud inference for a health app.","high","false","true","cosine_sim=0.7178"
"Plan a migration from REST to gRPC for five internal services.","low","true","true","cosine_sim=0.9393"
"Evaluate whether to build or buy an authentication service.","low","true","true","cosine_sim=0.9271"
"Trace through why a binary search might return wrong index on duplicates.","high","false","true","cosine_sim=0.6358"
"Design a caching strategy for a read-heavy product catalog.","low","true","true","cosine_sim=0.9292"
"Compare batch vs streaming ETL for nightly reporting jobs.","low","true","true","cosine_sim=0.9224"
"Analyze security risks of storing PII in application logs.","low","true","true","cosine_sim=0.9729"
"Propose an architecture for offline-first mobile sync.","low","true","true","cosine_sim=0.8540"
"Debug a memory leak that appears only after 24 hours of uptime.","low","true","true","cosine_sim=0.9137"
"Compare event-driven vs request-response for order processing.","low","true","true","cosine_sim=0.8686"
"Design a rollout plan for a breaking API version change.","low","true","true","cosine_sim=0.9039"
"Analyze why gradient boosting might beat logistic regression here.","low","true","true","cosine_sim=0.9729"
"Plan how to label training data for a routing classifier.","high","false","true","cosine_sim=0.8323"
"Compare synchronous vs asynchronous worker queues for email delivery.","low","true","true","cosine_sim=0.9527"
"Design a fallback strategy when the primary LLM provider is down.","low","true","true","cosine_sim=0.9040"
"Debug inconsistent A/B test results across mobile and web.","low","true","true","cosine_sim=0.8774"
"Analyze tradeoffs of strong vs eventual consistency in carts.","high","false","true","cosine_sim=0.8352"
"Propose monitoring metrics for an adaptive inference router.","low","true","true","cosine_sim=0.9162"
"Compare feature stores vs ad hoc feature extraction in ML pipelines.","low","true","true","cosine_sim=0.9489"
"Design a policy engine that enforces privacy constraints on routing.","low","true","true","cosine_sim=0.8839"
"Debug why cosine similarity labels disagree with human judgment.","high","false","true","cosine_sim=0.5941"
"Analyze cost-quality tradeoffs for small vs large local models.","low","true","true","cosine_sim=0.9055"
"Plan a data collection pipeline comparing model outputs automatically.","low","true","true","cosine_sim=0.8700"
"Compare regex PII detection vs NER for a sensitivity gate.","high","false","true","cosine_sim=0.7892"
"Design tests for a routing engine with hard privacy rules.","low","true","true","cosine_sim=0.9293"
"Debug why a classifier routes too many requests to cloud.","low","true","true","cosine_sim=0.9341"
"Analyze when to degrade to a large local model instead of cloud.","low","true","true","cosine_sim=0.8875"
"Propose thresholds for low vs high complexity routing bands.","high","false","true","cosine_sim=0.8183"
"Compare logistic regression vs gradient boosting for interpretability.","low","true","true","cosine_sim=0.8557"
"Design telemetry to explain every routing decision to developers.","low","true","true","cosine_sim=0.9046"
"Debug training-serving skew in a complexity classifier.","low","true","true","cosine_sim=0.9076"
"Analyze failure modes when small models hallucinate on hard prompts.","high","false","true","cosine_sim=0.6631"
"Plan how to validate routing accuracy before production rollout.","low","true","true","cosine_sim=0.9265"
"Compare OpenAI-compatible adapters across local and cloud targets.","low","true","true","cosine_sim=0.9429"
"Design a 2x2 routing table for complexity and sensitivity signals.","high","false","true","cosine_sim=0.7055"
"Debug why sensitive long prompts still hit cloud endpoints.","high","false","true","cosine_sim=0.8077"
"Analyze latency budget for regex gate plus classifier plus inference.","low","true","true","cosine_sim=0.9211"
"Propose a labeling heuristic using embedding similarity between outputs.","high","false","true","cosine_sim=0.6992"
"Compare quantizations Q4_K_M vs Q8_0 for local model quality.","low","true","true","cosine_sim=0.9246"
"Design an SDK that hides whether inference ran locally or in cloud.","low","true","true","cosine_sim=0.9175"
"Debug shard loading for multi-part GGUF models in llama.cpp.","low","true","true","cosine_sim=0.9348"
"Analyze how to keep all seven router tests passing during migration.","high","false","true","cosine_sim=0.8486"
"Plan documentation metrics for classifier accuracy and cost savings.","high","false","true","cosine_sim=0.8230"
