"prompt","complexity_label","small_sufficient","large_sufficient","notes"
"Explain the basics of object-oriented programming.","low","True","True","cosine_sim=0.9678"
"What is the difference between latency and throughput?","low","True","True","cosine_sim=0.9607"
"Describe how firewalls protect networks.","low","True","True","cosine_sim=0.9442"
"Explain what technical specifications document.","high","False","True","cosine_sim=0.8228; method=long_cosine; short_output=false; substring_match=false"
"How does a binary search algorithm work?","low","True","True","cosine_sim=0.8789"
"What is the difference between AI and automation?","low","True","True","cosine_sim=0.9505"
"Describe how version control helps teams collaborate.","low","True","True","cosine_sim=0.9042"
"Explain what technical risk means in projects.","low","True","True","cosine_sim=0.9505"
"How does a message queue decouple services?","low","True","True","cosine_sim=0.9260"
"What is the difference between SQL and NoSQL?","low","True","True","cosine_sim=0.9047"
"Describe how technical standards improve interoperability.","low","True","True","cosine_sim=0.9665"
"Compare microservices and monoliths for a fintech startup with 10 engineers.","low","True","True","cosine_sim=0.8944"
"A user reports slow checkout. List a step-by-step debugging plan.","high","False","True","cosine_sim=0.8149; method=long_cosine; short_output=false; substring_match=false"
"Design a rate limiter for an API handling 10k requests per second.","high","False","True","cosine_sim=0.8475; method=long_cosine; short_output=false; substring_match=false"
"Given rising cloud costs, propose three ways to reduce inference spend.","high","False","True","cosine_sim=0.5716; method=long_cosine; short_output=false; substring_match=false"
"Analyze tradeoffs between SQL and NoSQL for an analytics dashboard.","low","True","True","cosine_sim=0.9424"
"Debug why a CI pipeline passes locally but fails in GitHub Actions.","low","True","True","cosine_sim=0.9531"
"Compare on-device inference vs cloud inference for a health app.","high","False","True","cosine_sim=0.7178; method=long_cosine; short_output=false; substring_match=false"
"Plan a migration from REST to gRPC for five internal services.","low","True","True","cosine_sim=0.9393"
"Evaluate whether to build or buy an authentication service.","low","True","True","cosine_sim=0.9271"
"Trace through why a binary search might return wrong index on duplicates.","high","False","True","cosine_sim=0.6358; method=long_cosine; short_output=false; substring_match=false"
"Design a caching strategy for a read-heavy product catalog.","low","True","True","cosine_sim=0.9292"
"Compare batch vs streaming ETL for nightly reporting jobs.","low","True","True","cosine_sim=0.9224"
"Analyze security risks of storing PII in application logs.","low","True","True","cosine_sim=0.9729"
"Propose an architecture for offline-first mobile sync.","low","True","True","cosine_sim=0.8540"
"Debug a memory leak that appears only after 24 hours of uptime.","low","True","True","cosine_sim=0.9137"
"Compare event-driven vs request-response for order processing.","low","True","True","cosine_sim=0.8686"
"Design a rollout plan for a breaking API version change.","low","True","True","cosine_sim=0.9039"
"Analyze why gradient boosting might beat logistic regression here.","low","True","True","cosine_sim=0.9729"
"Plan how to label training data for a routing classifier.","high","False","True","cosine_sim=0.8323; method=long_cosine; short_output=false; substring_match=false"
"Compare synchronous vs asynchronous worker queues for email delivery.","low","True","True","cosine_sim=0.9527"
"Design a fallback strategy when the primary LLM provider is down.","low","True","True","cosine_sim=0.9040"
"Debug inconsistent A/B test results across mobile and web.","low","True","True","cosine_sim=0.8774"
"Analyze tradeoffs of strong vs eventual consistency in carts.","high","False","True","cosine_sim=0.8352; method=long_cosine; short_output=false; substring_match=false"
"Propose monitoring metrics for an adaptive inference router.","low","True","True","cosine_sim=0.9162"
"Compare feature stores vs ad hoc feature extraction in ML pipelines.","low","True","True","cosine_sim=0.9489"
"Design a policy engine that enforces privacy constraints on routing.","low","True","True","cosine_sim=0.8839"
"Debug why cosine similarity labels disagree with human judgment.","high","False","True","cosine_sim=0.5941; method=long_cosine; short_output=false; substring_match=false"
"Analyze cost-quality tradeoffs for small vs large local models.","low","True","True","cosine_sim=0.9055"
"Plan a data collection pipeline comparing model outputs automatically.","low","True","True","cosine_sim=0.8700"
"Compare regex PII detection vs NER for a sensitivity gate.","high","False","True","cosine_sim=0.7892; method=long_cosine; short_output=false; substring_match=false"
"Design tests for a routing engine with hard privacy rules.","low","True","True","cosine_sim=0.9293"
"Debug why a classifier routes too many requests to cloud.","low","True","True","cosine_sim=0.9341"
"Analyze when to degrade to a large local model instead of cloud.","low","True","True","cosine_sim=0.8875"
"Propose thresholds for low vs high complexity routing bands.","high","False","True","cosine_sim=0.8183; method=long_cosine; short_output=false; substring_match=false"
"Compare logistic regression vs gradient boosting for interpretability.","low","True","True","cosine_sim=0.8557"
"Design telemetry to explain every routing decision to developers.","low","True","True","cosine_sim=0.9046"
"Debug training-serving skew in a complexity classifier.","low","True","True","cosine_sim=0.9076"
"Analyze failure modes when small models hallucinate on hard prompts.","high","False","True","cosine_sim=0.6631; method=long_cosine; short_output=false; substring_match=false"
"Plan how to validate routing accuracy before production rollout.","low","True","True","cosine_sim=0.9265"
"Compare OpenAI-compatible adapters across local and cloud targets.","low","True","True","cosine_sim=0.9429"
"Design a 2x2 routing table for complexity and sensitivity signals.","high","False","True","cosine_sim=0.7055; method=long_cosine; short_output=false; substring_match=false"
"Debug why sensitive long prompts still hit cloud endpoints.","high","False","True","cosine_sim=0.8077; method=long_cosine; short_output=false; substring_match=false"
"Analyze latency budget for regex gate plus classifier plus inference.","low","True","True","cosine_sim=0.9211"
"Propose a labeling heuristic using embedding similarity between outputs.","high","False","True","cosine_sim=0.6992; method=long_cosine; short_output=false; substring_match=false"
"Compare quantizations Q4_K_M vs Q8_0 for local model quality.","low","True","True","cosine_sim=0.9246"
"Design an SDK that hides whether inference ran locally or in cloud.","low","True","True","cosine_sim=0.9175"
"Debug shard loading for multi-part GGUF models in llama.cpp.","low","True","True","cosine_sim=0.9348"
"Analyze how to keep all seven router tests passing during migration.","high","False","True","cosine_sim=0.8486; method=long_cosine; short_output=false; substring_match=false"
"Plan documentation metrics for classifier accuracy and cost savings.","high","False","True","cosine_sim=0.8230; method=long_cosine; short_output=false; substring_match=false"
